What is Bansoori?,Bansoori is an Indian classical instrument.
What does Akhil play?,Akhil plays Bansoori and Guitar.
What is Puliyogare?,Puliyogare is a South Indian dish made of rice and tamarind.
What does Priya write?,Priya writes poems.
What is Osmosis?,Osmosis is the movement of a solvent across a semipermeable membrane toward a higher concentration of solute.
What is solvent?,"In biological systems, the solvent is typically water, but osmosis can occur in other liquids, supercritical liquids, and even gases."
What is cell?,"When a cell is submerged in water, the water molecules pass through the cell membrane from an area of low solute concentration to high solute concentration."
What is example?,"For example, if the cell is submerged in saltwater, water molecules move out of the cell."
What is cell?,"If a cell is submerged in freshwater, water molecules move into the cell."
What is Raja-Yoga?,"Raja-Yoga is divided into eight steps, the first is Yama -- non - killing, truthfulness, non - stealing, continence, and non - receiving of any gifts."
What is Niyama?,"Next is Niyama -- cleanliness, contentment, austerity, study, and self - surrender to God."
What is Holi?,Holi is a famous festival of the Hindus.
What falls March?,It generally falls in the month of March.
